TEXT,Classified 1,Classified 2
@Cookwareman @mmpadellan I feel the same. Weâ€™ve been stuck at home for four god damned months and Iâ€™m so tired of this. Another shut down is going to destroy our business. Why canâ€™t people just WEAR A MASK?!,pro,pro
"At least the ones protesting wearing a mask arenâ€™t outside a Planned Parenthood bugging some woman about being selfish and that sheâ€™s going to hell. Irony chanting, â€œmy body, my choiceâ€.",pro,pro
"just increase testing as positivity rates are trending upwards as well. More testing would typically lead to lower positivity rates or rather steady rates.  It's okay to admit that it's the refusal to wear masks, crowding businesses, parks, and beaches, and throwing large parties",pro,pro
"@ladoodles @paytonlily8 @SanDiegoCounty It's a State Mandate &amp;thus, everyone MUST wear a mask! The question is:Why aren't you encouraging respect &amp;Care for one another for Safety Precaution to protect each other from this deadly virus?Your reckles",pro,pro
I really want to see actual arguments against wearing a mask because yâ€™all who refuse to wear one just seem like lil attention whores who get joy from swimming against the tide,pro,pro
@vegix I keep saying it.  Not wearing a mask should require a sign hospitalization waiver.,pro,pro
@ryans_shoestore @BilauGeoffrey @GavinNewsom @Elex_Michaelson I live next to a lake and Iâ€™d say about half the people actually wear their mask and are careful about social distancing. If people were collectively more responsible the gov wouldnâ€™t have ,pro,pro
best hypothesis: some white cop beating on Black kids cuz the kids were wearing masks,pro,pro
@ryans_shoestore @BilauGeoffrey @GavinNewsom @Elex_Michaelson That really isnâ€™t what it is about. You personally might wear a mask and social distance. But there are a lot of people who donâ€™t. I think itâ€™s a good preventative measure to close beache,pro,pro
@NYGovCuomo New York:  In the last 24 hours 4 people died from Coronvirus and 19 died from gunshot wounds.   Are we supposed to wear masks or bullet proof vests?,neutral,neutral
@KristinDGaspar @SanDiegoCounty @shaneharrisnow That picture indicates you think masks are important for fighting the spread of COVID and keeping local businesses open. Can you say that? That people should wear masks? Or is it all about kids playing sport,neutral,neutral
"@ladoodles @SanDiegoCounty You seem to be one of those non-believers! I suggest you take a tour of any SD Hospital ex: Scripps, Sharp, etc.&amp; see #COVID19 patients on ventilators! Better yet, talk to your doctor, if you have one, &amp; they'll enlighte",pro,pro
"Wear a mask. Wear the fucking mask. Wear the fucking mask please. Wear the fucking mask please now. Wear the fucking mask please now or enjoy your summer indoors, isolated, and inevitably gaining weight.   Itâ€™s not hard, people with respiratory issues do it, you should too.",pro,pro
@GavinNewsom All the safety measures regarding bars &amp; restaurants are mostly in favor of the patron. What about servers &amp; bartenders? Once seated &amp; masks are removed itâ€™s a free-for-all. No way to serve &amp; maintain 6 ft. We wear masks to ,pro,pro
"if u donâ€™t wear a mask, and you like Naruto, youâ€™re a fucking peasant and kakashi is definitely disappointed in u",pro,pro
@NickyLuos @proCAT6961 @SethPlaut @nytimes If you're too scared to wear a mask then stay inside,pro,pro
"@leisurefriar Did the mask that he was wearing help protect his face?  BTW, people speeding through parking lots really grinds my gears.",unrelated,unrelated
"@JBToledoman @Lellius @Zigmanfreud @GavinNewsom So, you donâ€™t agree with scientists because they have a political view?. Does that cancel facts? Can you point out to succes stories around the world on Countries that have flattened the curve without obse",pro,pro
@LPaingood @TriotTx @Realpersonpltcs If you're too scared to wear a mask then fucking stay home,pro,pro
"@tanyav626 Not really,clean your hands , wear gloves , a mask , try to avoid crowded areas, stay home if you donâ€™t have anything to do outside, if you donâ€™t wana be at high risk of getting it , just do what youâ€™re supposed to",pro,pro
@NBCNews Please put your political beliefs to the side and just wear a mask and social distance. Your life is too important.,pro,pro
"All you from the 19 countyâ€™s in CA that got re shut down for not wearing masks &amp; spikes in covid, please Donâ€™t come to San Diego for 4th of July weekend to ruin it for usðŸ¤£ðŸ¤£ðŸ¤£ Clearly weâ€™re Americaâ€™s #AmericasFinestCity but keep that energy over there. No thanks to @GavinNewsom",pro,pro
The answer is - It protects all of us. Please wear your mask in public settings when social distancing is not possible. We can do this #ChulaVista!,pro,pro
@StuDoesAmerica @glennbeck The totalitarian government is ensuing itself upon the people. Mask-wearing is a demonic symbol of submission,against,against
"@MissActress04 @ReeseW Actually, they donâ€™t. Possible respirators do, somewhat, with prolonged wear. But not cloth masks.",against,against
@GavinNewsom No. Wearing a mask is a sign of weakness. Of submission.   A sign of someone who follows blindly. Who wants the problem to get worse. Who looks to government for everything.   I think thatâ€™s a terrible thing.,against,against
@jontaffer Stay inside and wear a mask,pro,pro
Life is ever exhausting  But wear your fucking mask,pro,pro
@GregoDaGr8 @CoachFore Brother if we donâ€™t shut down the borders and people stay at home and wear a damn mask when out. There will be no school.... no sports at all.,pro,pro
Americans are such fuck tards and honestly Iâ€™m so done with country and ashamed to live in the states. WHY IS IT SO HARD TO WEAR A MASK???,pro,pro
@MrJonCryer Hope Hicks just told him that to give him confidence and make him wear a mask. ðŸ¤«,pro,pro
"I had one of my employees go â€œI donâ€™t even know why theyâ€™re making us still wear masks.â€  I replied, â€œBecause COVIDâ€™s still a thing?â€  â€œBut the health officials said the masks do nothing.â€  â€œThey do SOMEthing. SOMEthing is better than NOthing.â€",pro,pro
"If I see someone not wearing a mask, I want to say something but am too scared of confrontation so instead I narrow my eyes and judge them INTENSELY.",pro,pro
really had a grown ass mask argue me down bout wearing a mask in the store ðŸ’€,pro,pro
"Things that make you go â€œhmmâ€:  Ever notice that some of the same people who demand they have a inalienable right to  not to wear a mask in public places, at the same time insist that we legislate what women decide on issues involving their own bodies. ðŸ¤”",pro,pro
"Those (white) people who refuse to wear masks when entering stores, then get into shoving matches with security . . .  would they all still be alive if they were black?  #WhitePrivilege",pro,pro
"@soledadobrien Ever notice that some of the same people who demand they have the right to decide not to wear a mask in public places, at the same time insist that we legislate what  women decide on issues involving their own bodies. ðŸ¤”",pro,pro
"@BarringtonIam I visited Pacific Beach multiple times and from what I saw, majority of people were still not wearing masks. Even those who were not going to bars",neutral,neutral
@AnthonyLosoya That's why you should always wear a mask,pro,pro
I hate seeing ppl trying to make fake theories about Covid. Hate to break it to you but that shit is MORE THAN REAL. Itâ€™s taking a huge toll on my family &amp; itâ€™s a nasty virus that I wouldnâ€™t wish on my worst enemy. So please stay safe &amp; healthy. WEAR UR DAMN MASK!!,pro,pro
@ChavannaJ @__Baxter_ They are Trumpers. He encouraged this by refusing to wear a mask.,neutral,neutral
"@MissActress04 @ReeseW mask, there is no reason NOT to wear a mask. It really isnâ€™t hard.",pro,pro
"@ChilMyers My nieces were at BLM protests in Temecula and also in Oceanside. Every picture I saw, 99% were wearing masks. Was happy to see that.",pro,pro
Iâ€™m not gonna act like I donâ€™t notice white people never have to wear their mask or be told they canâ€™t enter but they all over my ass telling me I canâ€™t enter with no mask,pro,pro
"@therealJFKFAN What do you wanna bet these people consider themselves pro-life?  News flash to these maga'rons! If you're not willing to wear a mask to help protect someone else's life, you're not pro-life.",pro,pro
"@MissActress04 @ReeseW I find this hard to believe, as cloth masks have been shown to not significantly impede oxygen flow. I would agree he should not be wearing an N95, which can, over time, reduce oxygen intake.   However, except in the .1% of cases wh",pro,pro
"@ArmedStay @Lellius @Zigmanfreud @GavinNewsom Agree! so, do you at least agree social distancing, avoiding crowds and wearing a mask is the way to go?",pro,pro
Stop going out. Wear a mask. Stay home.,pro,pro
"@trollingcronies sooo true! and on the beaches we already have the folks in AirBnBs, and they aren't wearing masks.",neutral,neutral
"@NBCNews TRUE!  SCIENCE SAYS  That mask wearing by the general public doesn't help, and for most of us is actively harmful   for a myriad of reasons   a) viral particle size b) hypoxia c) handling mask d) ill-fitting masks e) useless cloth masks f) asympt",against,against
"Is the real issue with the Trump never wearing a mask primarily because of his bronze spray-tan make-up?  Clearly, if he wore one and took it off in front of the cameras, it might make for quite the literal clown show.",pro,pro
to the 1-3 people always liking my tweets baby get dressed and wear ur masks we having a bbq,pro,pro
@CoachFore Câ€™mon now....Itâ€™s not contagious on a school bus....I want to see how PBIS works when kids donâ€™t wear a mask or refuse to social distance at school....ðŸ˜³,neutral,neutral
"Itâ€™s getting depressing out here having to wear a mask everywhere and we all lookin at each other Like we hate this, this ainâ€™t our natural way of living shit ainâ€™t right",against,against
"@RepMyCityX Man I went to a meadery and we all did so well as far as distancing and wearing our masks went ðŸ˜­ granted we made reservations and there was a limit to how many people were there but damn, weâ€™ve been doing well and now itâ€™s going to go t",pro,pro
@foralleyes @TruBluRayne @diegodeeznutz95 @kmarcotics @rvclark123 @AloeILoveYou @nytimes a) practice social distancing b) wear a mask to protect those who have to be around you c) certain researches have shown that covid has difficulty spreading outdoors.,pro,pro
"@paytonlily8 @ladoodles @SanDiegoCounty You said that you didn't care about LindaD?  What?  I thought you were wearing your mask for the sake of the community. Ah, no...  You're scared. You feel powerless so you want to exude power over others by forcing ",neutral,neutral
@amymac1008 @JustinCucciare @GavinNewsom Then THOSE businesses should close for violating the law. Everywhere I have gone refuses service if youre not wearing a mask.,pro,pro
"I really say in line at @PopeyesChicken for over an hour ðŸ˜’ Just to get to the window and see no one wearing mask or gloves ðŸ¤¬ nope, Iâ€™m good!",pro,pro
"We r seeing more  asymptomatic COViD cases on preop testing. Young and old, CRC, fistulas, IBD. Stay vigilant friends: 1. Wear your mask for exams/anoscopies 2. Limit clinic traffic in the rooms 3. Protect your clinic staff w/reminders and PPE.  Second surge is real  ðŸ˜·ðŸ¦ ðŸ™…ðŸ»â€â™€ï¸",pro,pro
the mfs who dont wear masks are the ones who put their whole mouth on the water fountain in elementary school,pro,pro
"If push comes to shove, President Trump should wear a mask that says:  â–ªCHINA VIRUS  â–ªHOAX  â–ªMAGA  â–ªALL LIVES MATTER  â–ªLAW &amp; ORDER  â–ªOBAMAGATE  â–ªDEFUND PLANNED      PARENTHOOD   Once the lefts, MSM and the Democrats sees this, they'll STOP  him wearing a mask! ðŸ‘»",neutral,neutral
@Marcietee @mitchellvii Some surgeon wear them for many days at a time because of people like you who think that wearing a mask isnt healthy,pro,pro
"@BCOOL333 Following simple rules: wearing a mask, washing your hands and making sure that they are clean at all times and please stay home IF you do not need to be out and about ðŸ¤™ðŸ¼",pro,pro
@nursekelsey It's a mix of surgical (but sold in boxes marked non-medical) and cloth masks. Not very many people wearing them though.,neutral,neutral
"Can we PLEASE not mock @realDonaldTrump for saying he looked like the Lone Ranger while wearing a mask. If Trump leads by example that's a good thing, more people will wear masks &amp; maybe we can slow the spread of the virus.",pro,pro
"@GavinNewsom I was sitting at a stop light near Balboa Park in San Diego this afternoon, and only 10 of 21 pedestrians who crossed the street were wearing masks. Disheartening.  #WearAMask #MaskItOrCasket",pro,pro
@BCOOL333 Wearing a mask and wash your hands!! Making sure they are clean ðŸ¤™ðŸ¼,pro,pro
"@ArmedStay @Lellius @Zigmanfreud @GavinNewsom Stay safe. Observe social distance, avoid crowds. If you canâ€™t (i.e. work), wear a mask.",pro,pro
@KaeAndersen @dougducey @LiveScience It was a joke.  Good luck with not wearing a mask and all the 4th of July social events.,pro,pro
"@KUSINews @SanDiegoCounty Sounds like a white privilege question. Let me explain... because the protests were OUTSIDE, people were wearing masks and trying to keep distance. Versus...Church congregations worship INSIDE...  not many wearing masks and sitti",neutral,neutral
@trytogether89 @sam57549235 @Chironi2 @realYDB @GavinNewsom I agree with you! I have families &amp;  friends living outside this country &amp; proud that they bent their curve as they cared for each other! I am embarrassed for these uneducated &amp; ill-i,unrelated,unrelated
@sharky_marky17 Exactly! What is my immunocompromised self supposed to do? Stay inside till it goes away? How will I get food or make money to pay bills lol? Literally just wear a mask itâ€™s not hard,pro,pro
@CriddleBenjamin I have found the temp check doesnâ€™t actually work. My work does that and someone still tested pro. I work in small room with said person. Waited a week to get tested and I was against. I think itâ€™s all a hoax. Didnâ€™t wear mask,against,against
@vonwulfenstein Close the 5 and the 15 at the North County border. That'll keep most of 'em out.  And wear a fucking mask. ðŸ˜·,pro,pro
@SethAbramson If he looks like the Lone Ranger then he's wearing the mask wrong.,neutral,neutral
"@BillKristol @realDonaldTrump, when you cover the bottom of your face it does look like you are wearing a Lone Ranger mask. Except, the Lone Ranger's mask isn't orange.",neutral,neutral
"@govkristinoem Iâ€™m sure glad youâ€™re not our governor !-what you just said on Fox news about enjoying the fireworks, wear a mask if you want ,no social distancing ,come and have fun!!  you fucking kidding me really you should be impeached!  Irresponsib",pro,pro
"@ak_pennington I'm all for protests for social justice, but they're not wearing masks and they're all nearly shoulder-to-shoulder!",pro,pro
"@StephBuffamonte wait,  there's a guy wearing a mask.  WTH?",neutral,neutral
"@ErikaMacsaveny We have had Zonies here, still too many people not wearing masks, throwing parties at their homes, having playmates. I'm surprised we aren't worse off in SD.",neutral,neutral
"@VaughnHillyard @VP @fema And this new mask wearing of @VP is alarming to me because any time he seems to be acting more reasonable than @realDonaldTrump I think he's positioning himself as trump's replacement. You know, just in case. That would NOT be go",neutral,neutral
"La buena? I'm set up to go back to work on Saturday.   La mala? Hoy, 19 condados en California, fueron echados para atras 3 semanas de toda actividad en interiores. San Diego no es uno de ellos...pero podrÃ­amos serlo en los prÃ³ximos dÃ­as.  Estoy hasta la madre! Wear a fkin mask!",pro,pro
"@AP If he thinks it makes him look like the Lone Ranger, heâ€™s wearing the wrong type of mask",neutral,neutral
"@Paul__Walsh Yes. Iâ€™m speaking to people with the means to go out for dinner and expect waiters to serve them while they donâ€™t wear masks. There are millions unable todine out, including many working in those restaurants. So people with the means to d",pro,pro
Swear these mfs boutta give me a promotion just to get the restaurant shut down again smh wear a mask for fucks sake ðŸ˜‚,pro,pro
@noteableyfood They all wear that shit but they wonâ€™t wear a mask? SMH,pro,pro
"@10News Wear your mask!!!  Itâ€™s not political itâ€™s just the right thing to do. If we find out that it was a waste, who cares?!  You were only slightly inconvenienced. Please itâ€™s not a mass conspiracy. Please subscribe to logic and reason for once!",pro,pro
@PennHayden1 @mjg9ers @GavinNewsom I am staying home as much as possible. Thank you for caring.  What is so patriotic about not wearing masks? I don't understand. Please enlighten me.,pro,pro
"Ever notice that people that wear a mask while driving alone is usually the one driving slower than everyone else, in a Prius or have a Obama/Biden 2016 sticker on their car!!!   #onceasheepalwaysasheep #COVIDIOTS",against,against
@tinkergarage @Expeltrump @mary_rysdale @smod4real @SanDiegoCounty @GavinNewsom Weird how protesters have the decency to wear masks and white Boogaloo rioters donâ€™t.,pro,pro
"quarantine rules (no secretly going out). It's because of actions like these that Taiwanese people can literally be out and about, with or without masks, almost everywhere (indoor spaces with crowds like churches still enforce wearing a mask for safety). The US needs to stop",neutral,neutral
and have continuously tried to get him to wear a mask but it wasn't until the CA SIP order did he realize that this was not the normal flu. He hasn't gone outside since March besides getting mail. I'm a firm believer that social distancing is something you have to do consciously.,pro,pro
"People who refuse to wear a mask in public or say things like ""if you're afraid to catch it, don't go outside"" are so so ignorant.   My brother has a lung condition so he's high-risk. My mom and I have been following news of the spread SINCE JANUARY",pro,pro
"EVERY SINGLE DAY I hear an older folk tell me,us â€œyounger crowdâ€ are the ones not following the rules by not wearing our masks when the people that ever just walk into our restaurant without a mask are ONLY THE OLDER FOLKS thinking they own the restaurant! GTF outta here Bob..ðŸ™„",neutral,neutral
"@kr1ssr0ck @ItsRellzWorld Someone refusing to wear a mask shouldn't be removed in cuffs, right? Feeling slighted is different than receiving privilege, right? If a black, Latina or Asian woman refused to wear a mask, would it be considered ""privilege?"" I ",neutral,neutral
"@SullyOnTheAir @ColtsCountryXLI @KUSINews Says the clown with no data to back up his ""analysis"" - you seemingly have not been paying attention but transmission is far easier when you are indoors in close proximity rather than outdoors.  Also quite a lot o",neutral,neutral
"@GavinNewsom Proudly wearing a mask to protect those around me. Without a cure, we have no other way to safely interact with people outside out homes.  Read about this people! This is all over the world. Only we aren't taking it seriously enough to stop i",pro,pro
"@AppaloosaSv @jim_desmond @KUSINews 130K dead folks probably donâ€™t agree.  If Romney were in his 2nd Term, you think wearing a mask would be this political?  Smallest civic duty in history and the snowflake calling GOP who want control of womenâ€™s bodi",pro,pro
Masks cost like what $10 individually if your buying them from someone who handmade it and like $1-5 in a pack and a fine for not wearing one is $100-$1000 depending on where youâ€™re at. Like would rather wear one than get fined for not wearing one.,pro,pro
"@BarstoolBigCat Yeah, first we can shut down the economy and force everyone to distance and wear masks so we canâ€™t get to herd immunity naturally. Do you think it will work?",neutral,neutral
"@JustReformNow @shortfakeblonde Yeah, we do. I cannot walk in the office with the girls bouncing. I would get sent home. Also, I have to wear a shirt and shoes to get service in a restaurant so Iâ€™m not sure why people canâ€™t wear a mask until we have a",pro,pro
I donâ€™t understand people. If youâ€™re gonna go out wear a mask. Grocery store...mask. Job...mask. Just being around people in general wear a damn mask. Quit being selfish babies and get over yourselves.,pro,pro
"@KellyBundysTwin Thank you for sharing. Yeah, I can taste and smell a little, but I have a tiny appetite. I feel the hunger now, but I eat tiny portions. I wear and Wore a mask everywhere, sanitized...just, got lucky I guess. My husband tested against. I",pro,pro
"If an idiot that doesnâ€™t wear a mask gives me the virus, they can gladly pay for my treatment",pro,pro
@AndrewNoymer OR people could wear masks for six months.,pro,pro
"how did covid 19, wearing masks, and basic human rights become political? ðŸ¤¦ðŸ¼â€â™€ï¸",pro,pro
"So, the irony is, the same right-wing wingnuts who claim that the BML protesters are violent are the same right-wing wingnuts who, when protesting, bring assault weapons to their protests to complain about wearing masks. #BLM #WearADamnMask",pro,pro
some people care more about wearing a mask than black lives and it really shows,neutral,neutral
"@WillowNBirch @SheriAWilkinson For those with 'covid exhaustion' remember, you'll get alot of rest when you're dead!  Be patient. Wear your masks!",pro,pro
" @fawn_coltrane @GovernorTomWolf Mask wearing should only really be in shops and stores, which isnâ€™t a big deal.",against,against
"@ProgressiveSacr @CAgovernor @CAPublicHealth @CHHSAgency @Cal_OES More like wear a mask to prevent germ spread. Donâ€™t visit any nursing homes, either.",pro,pro
I fucking hate how dumb America is. Hard to blame the dumb people; gotta blame the unregulated capitalist orgs that create the dumb. But still.  TL;DR- just got back from shopping and dog walking: 80% of people NOT WEARING MASKS or distancing. Fucking morons. #buddingmisanthrope,pro,pro
@QueenofIce87 @dougducey Wear a mask then. Don't be selfish prick,pro,pro
"@KathleenFOX5 I know a doctor at UCLA Health and his message last week was ""I can't take it anymore"" and for everyone to please wear masks.",pro,pro
@smooviecee Ok. The answer is wearing masks.,pro,pro
HINT: This is why mask wearing is SO DANGEROUS for our immune system. Health. Soul.,against,against
Whatâ€™s the point of wearing a mask if youâ€™re gonna take it off to cough????,pro,pro
"@RexChapman @StephBuffamonte At what point do medical insurers say â€œMember failed to wear a mask, nor maintain common sense social distancing-COVID 19 treatment coverage denied.â€?",neutral,neutral
"@Pumay28 @TaxedOver @GavinNewsom Hm interesting, if only there weren't century old standards that people voluntarily agree to regarding clothing..  Half those people probably wear their masks wrongly.  Social distancing use to be the lefts dogma as well b",neutral,neutral
"@mmpadellan San Diego County isn't on the list, yet. I won't change my current behavior- I don't go anywhere that is not necessary, I always wear a mask in public, I do my best to 'social distance' or more &amp; I wash my hands almost as much as Dr. Wife.",pro,pro
@SpoopyKiwi the way Ducey says he'd wear a mask and then blatantly doesn't IS THE SAME ENERGY MY ENTIRE WORKPLACE IS HAVING RN,pro,pro
@Diane2Jean That's got to be challenging when your family members won't wear masks. Trump has divided this country like no time in history since the Civil War.,neutral,neutral
"hey guys, stay the fuck home please. or wear a mask if you go out. don't stop fighting for justice. and black lives matter",pro,pro
"@Big_Time_Atl @DB_Rein Lots of parents insisting their kids shouldnâ€™t have to wear masks at school. No sinks for hand washing in most MS and HS classrooms. 36 kids per hour, 180 students a day. Lots of teachers over 60.",neutral,neutral
"san diego is fuuuuuuuuuuuucked  we are 100% going back on lockdown, i am willing to be every penny i have on it  make sure you all wear masks and minimize contact this week, we're gonna be seeing a lot of new cases popping up",pro,pro
"@Pumay28 @TaxedOver @GavinNewsom Masks were worn? Yeah I'm sure all those people wore them right? Despite even some not wearing them in their photo op pictures. The only statement made was one of ignorance,destruction and violence  I think people actually",neutral,neutral
"@Janeproly Yeah, only place I saw people not wearing masks was at the park on the beach which was upsetting because I get that you can socially distance, but these were big groups of people and they didn't wear masks once they left the group.",pro,pro
@WayneDupreeShow If they can get you to wear a mask for either fear or shame they can get you to give up any other liberties you have. It's all about compliance and obedience.,against,against
@GavinNewsom #encinitasmainstreet101 teems with packed bars sidewalks and restaurants with no one bothered to wear masks. @Cblakespear is turning a blind eye and @KristinDGaspar is a #trumploving #sciencedenying scumbag.,pro,pro
@ursopacos Right? Like they act like wearing a mask is a difficult thing to do.,pro,pro
@ryan_alikhani @3sidedstory @GavinNewsom I think what he did is good for now.  If people donâ€™t wear mask and social distance there is nothing he can do,neutral,neutral
"@NaturallyDreaMe I would err on the side of extreme caution, but I'm 66 &amp; Wife ain't too far behind. To put it another way, I wouldn't go. You have to weigh your own risk/reward. If you go, social distance X2 (12 feet), wear a good mask, be upwind of ",pro,pro
Dr. Francesca Torriani-&gt;says asymptomatic transmissions are increasing. Says it's vital that we have voluntary compliance with distancing and wearing a mask around other people.,pro,pro
@GavinNewsom #shutdownsandiego there are tons of tourists and locals here who dont wear masks.,neutral,neutral
"@joemag_games Itâ€™s been my (limited) experience that the kids get it pretty well because itâ€™s so simple: people might get sick, so weâ€™re wearing masks and staying home more. Bingo bango done!",pro,pro
"If youâ€™re a front liner or in any business thatâ€™s currently open, donâ€™t forget to say THANK YOU to the people who are wearing masks.  This can make someoneâ€™s day you know.",pro,pro
"idk why people complain about wearing a mask, I be using it to also cover my horrible acne",pro,pro
"@kjmengerink Let's hope we don't get a ton of folks coming down here to party it up this weekend. If they do they need to wear a mask and it needs to be enforced. Nathan, will you enforce masks this weekend? @nathanfletcher",pro,pro
"@JustinWWaldrop @PeesnCarrots @AP You seem to be speaking from a rational standpoint which I don't think these deadlines are for :) . They are for the same people that arguing that wearing a mask somehow violates ""rights"" . Ideally we'd have an ""until thi",neutral,neutral
@McSnewsie @GavinNewsom I see them too &amp; just don't get it. I've been wearing a mask since March just to be safe bc none of us really knew if we had it or not. I didn't want to be a Typhoid Mary if I did. It's July now. Starting to think it's going to,pro,pro
"@DesignationSix Didnt have any trouble wearing masks when took up arms &amp; blockaded capital buildings, city streets, etc. Push backs are BS. In civilized society people make sacrifices for good of whole even if it inconveniences the individual. Speed l",pro,pro
"ATTENTION,IDIOTS THAT WON'T WEAR MASKS &amp; ORR,SIT Y'ALLS PATHOGEN-CARRYING ASSES TF DOWN IN AMERICA: YOU LAME AF RETARDS ARE THE REASON SUMMER+FALL WILL BE CANCELLED THIS YEAR! congrats,DUMBASSES. with #COVID19HOTSPOTS RAMPING BACK UP,CITIES WILL HAVE TO SHUT BACK DOWN! ONLY THOSE",pro,pro
Just heard back from my school district!! you all better wear your gd masks so I can see my kids againnnnnnðŸ˜­,pro,pro
"@benalevy @jmugele 171 yrs ago Semmelweis was a highly intelligent medical professional, w/limited social skills advocating major hygiene changes on bacteria people could not see.    Today people understand good hygiene, but some miss the reason for weari",pro,pro
I have a hunch that a good percentage of the HELL NO I WONT WEAR A MASK I CANT BREATHE crowd are also cigarette smokers.,pro,pro
"I'm really out here meeting new people at work, and I have no idea what they really look like because they all wear masks.  It's crazy.",neutral,neutral
"@McSnewsie @GavinNewsom @Kevin_Faulconer @GavinNewsom Please at least close SD beach parking lots this weekend! beachgoers are not wearing masks, party houses are already along the boardwalk",pro,pro
Thereâ€™s something ironic about seeing someone wearing an Info Wars face mask.,neutral,neutral
"Yesterday the US hit close to 39,000 new COVID cases. It's not even 3PM PT and we're at close to 34,000 today. Florida close to 9,000. AZ close to 4,000. Stay the fuck home and wear a mask otherwise.",pro,pro
Are we deadass launching a campaign to wear masks in JULY!?!?!! Yeah there's no way we are ever beating corona... at least we have our memories,pro,pro
"@mmpadellan He's closed down the beaches again, too. For those of us who own property in beach communities it's not worth the price to live here. Who wants to pay for close access to a beach when you can't go to the beach?I know, I know.....dont worry I s",unrelated,unrelated
@90sWWE @gangrel13 @EdgeRatedR @Christian4Peeps @yookishaz   Orange County as they laugh at everyone else wearing masks,neutral,neutral
"@shortfakeblonde Hey, if us women have to wear a bra everyday then you can wear a mask damn it.",pro,pro
"@GavinNewsom Problem is, out of billions of people, there will be some that actually don't give a damn.  Not sure wut you can do about that. Meanwhile, I will gladly continue to wear my mask, as I have for over 5 years. People are soo nasty...",pro,pro
how did a guy get 50k+ for doing his job by refusing service to someone for not wearing a mask but gofundmeâ€™s for trans people to get stable housing and or transitioning are barely even getting anything...,neutral,neutral
WEAR. A. FUCKING. MASK.  You dumb fucks are going to keep resetting everybody back to phase 1 quarantine every time we try to move forward because you refused to wear one and have any sort of social distancing common sense and the virus spreads like wildfire.,pro,pro
@JoshNew77730808 @karinaavv I hate the mask rule as much as anyone but if people canâ€™t at least wear it in until they sit down to help keep business open in San Diego donâ€™t cry when these places close. Bars should do more to be enforce the rule too wh,against,against
@wasthatholly @47young1 @cyndilauper Why should the entire state be punished for Los Angeles not wearing mask and social distancing,neutral,neutral
Why are people suprised. If you donâ€™t wanna wear a mask everything will close again ðŸ™„ðŸ¥±,pro,pro
"@RamiMayron I am so sorry. Be ever so careful. Like I said, Trump set the scene to NOT wear a mask. He's a very dangerous man who is not looking out for anyone but Vladimir Putin.",pro,pro
Iâ€™m so sick of seeing these â€œdebatesâ€ about wearing a mask. Science is not a debate. Stop acting like a fucking child and put your goddamn mask on!,pro,pro
@BobZahanken @ReyLVRadio well im sorry bob but your wrong I went to vegas I did wear my mask but I also wasnt shoulder to shoulder at the tables or screaming at everyone who didnt agree with me I also was allowed to wash my hands when I wanted to and mask,pro,pro
"New profile pic. Mask included. Please wear one, people.",pro,pro
,pro,pro
"Can we just call out other ravers who donâ€™t wear masks? Itâ€™s so simple wear a mask/face covering, practice social distancing &amp; maybe we can all rave again soon",pro,pro
@yehme2 !!!! This is what Iâ€™ve BEEN saying. I work at a bar and a hospital.... these people are such hypocrites ! The ones who protested to re-open states for their haircuts are the ones who donâ€™t wear masks and are forcing ya to go into lockdown agai,pro,pro
@Benioff Only in America is wearing a mask more of a rights infringement than waiting 6 hours to vote. ðŸ˜–,neutral,neutral
"Iâ€™ve got clients in multiple counties in #California both #landlords and #tenants. The escalated spread of #coronavirus is a huge setback for all of my clients. Wear a mask, damnit! @dayharrison @natalie_CRE10X",pro,pro
wearing a mask means you can mouth the lyrics to a song without looking weird am i right,neutral,neutral
"@TraceyFLGirl @ari_russian Was in the post office today. Out of 11 people, including the two employees,  8 weren't wearing masks.  I think the mask thing is going the way of Russia, Russia, Russia and murder Hornets.",neutral,neutral
"@The_Unicorn____ @wahoorad @forrestmaready They wear masks because of the amount of pollution in the air. They lag on fresh air. The high levels of cyanide in the air increases their chances of getting ill.  The most popular mask states on the box, it won",neutral,neutral
"@mitchellvii If youâ€™re struggling to breathe while youâ€™re wearing a mask, your lung function is seriously compromised, putting you at very high risk for COVID-19. U should not go outside at all if you canâ€™t be masked &amp; you should isolate from ot",neutral,neutral
"#SuperStars4Masks !!! Letâ€™s start a movement!! Be proactive, use Twitter and Instagram.... to connect with celebrities who appeal to ages 15-35. Get them to start posting about how important it is to wear a mask. Letâ€™s save our country together!!",pro,pro
@TBoisseauATX @Terryscholl3 Translation: Wear a mask.,pro,pro
"Sounded like he wasnâ€™t from America, and seemed legit dumbfounded while looking around at everyone wearing masks.    Where you at been man???",pro,pro
"@duffygirl8 @LAMusing @CAgovernor @Real923LA @CAPublicHealth @GavinNewsom @CHHSAgency @Cal_OES @ListosCA @CAStateParks @CalVolunteers None of this is fun. Problem is, there are too many 'experts' telling the public conflicting information. Believe wutever",unrelated,unrelated
"@RamiMayron I drove through Arizona Saturday. Made a stop for gas; no one was wearing a mask. After having traveled through California where everyone was wearing a mask &amp; also, polite social distancing. It's Trump who did this to people. Made it cool ",neutral,neutral
"@megdogwuff @JerryBrownGov @GavinNewsom Was surprised when I went into the post office just a little while ago.  I thought, as usual, I'd be the only one without a mask. However,  I found 8 out of 11 people in there weren't wearing a mask.   No matter wha",against,against
